Row Num,Order ID,Customer ID,Customer Name,Product ID,Product Name,Quantity,Total Price,Date
0,9063674,10539,EKG Technologies,1958372,Bracing System,3,1733.4702702702702,2023-11-25
1,5856368,71405,Apple Headquarters,2394206,Aluminum Head Bolt,1,10.0,2023-09-28
2,5261351,71405-2345234,AppleLosAngeles,9382754,Safety Lock,2,260.0,2023-04-11
3,8781245,57820,McDonalds,8473612,Steel Chain,5,945.0,2023-10-06
4,5133419,57820,McDonalds,8327493,IronGrip Nuts & Bolts pack,4,1092.0,2023-11-03
5,7605777,57820-1,McDonalds New York,4206932,Megafix Fastener,3,4.117027027027027,2023-12-22
6,9201671,57820,McDonalds,4206932,Megafix Fastener,4,5.48936936936937,2023-02-08
7,5435116,71405,Apple Headquarters,2756483,Truefit Seals,5,21.171231726726724,2023-07-31
8,5678652,10539,MAG Industries,9375732,PivotPlus Hinges,2,6.345046906490468,2024-01-11
9,9044081,57820-2,McDonalds Miami,4938583,SolidSpan Coupling,4,21.2,2023-11-25
10,8496128,57820-124124,Walmart Shop,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-03-20
11,9966608,57820,Walart,2394206,Aluminum Head Bolt,4,40.0,2023-06-14
12,8675068,19642,Microsolutions,3958382,Red Clamps,1,12.0,2023-08-10
13,6679463,10539,EKG Technologies,9375732,PivotPlus Hinges,1,3.172523453245234,2023-11-14
14,9250285,57820-1,McDonalds New York,4938583,SolidSpan Coupling,5,26.5,2023-08-06
15,5376723,57820,Walart,3958382,Red Clamps,4,48.0,2023-05-12
16,5180268,57820,Walmart,8473612,Steel Chain,2,378.0,2023-07-18
17,8734418,71405,Apple Headquarters,9382754,Safety Lock,4,520.0,2023-02-14
18,5180268,57820,Walmart,2064306,Steel Screw,2,0.2,2023-07-18
19,5693867,57820,McDonalds Headquarters,1958372,Bracing System,3,1733.4702702702702,2023-04-07
20,9703442,10539,EKG Technologies,4206932,Megafix Fastener,5,6.861711711711712,2023-12-21
21,8496128,57820-124124,Walmart Shop,9375732,PivotPlus Hinges,4,12.690093812980937,2023-03-20
22,6906394,19642,Microsolutions Inc,5927583,MaxBond Anchors,3,30.0,2023-05-23
23,9778952,57820,Mc'Donalds HQ,9382754,Safety Lock,5,650.0,2023-02-19
24,9966608,57820,Walart,2394206,Aluminum Head Bolt,3,30.0,2023-06-14
25,8781245,57820,McDonalds,9382754,Safety Lock,3,390.0,2023-10-06
26,8477139,57820-2,McDonalds Miami,4206932,Megafix Fastener,4,5.48936936936937,2023-08-13
27,6553930,71405-2345234,AppleLosAngeles,9382754,Safety Lock,3,390.0,2023-10-08
28,5376723,57820,Walart,5927583,MaxBond Anchors,5,50.0,2023-05-12
29,8734418,71405,Apple Headquarters,5927583,MaxBond Anchors,5,50.0,2023-02-14
30,8797113,71405,Apple Headquarters,2064306,Steel Screw,2,0.2,2023-11-20
31,6813422,57820,McDonalds HQ,3958382,Red Clamps,2,24.0,2023-12-24
32,8590830,71405-2345234,AppleLosAngeles,4206932,Megafix Fastener,2,2.744684684684685,2023-07-02
33,9063674,10539,EKG Technologies,2064306,Steel Screw,1,0.1,2023-11-25
34,5861924,71405-77,Apple - Grand Central Station,2394206,Aluminum Head Bolt,4,40.0,2023-03-15
35,6102609,57820,Mc'Donalds HQ,1958372,Bracing System,2,1155.6468468468468,2023-02-21
36,6813422,57820,McDonalds HQ,4206932,Megafix Fastener,4,5.48936936936937,2023-12-24
37,7538313,71405-2345234,AppleLosAngeles,8327493,IronGrip Nuts & Bolts pack,4,1092.0,2023-11-20
38,9496030,71405-13424315134,Atlanta Mc'Donalds,4206932,Megafix Fastener,5,6.861711711711712,2023-04-25
39,8669675,57820,Walart,4206932,Megafix Fastener,5,6.861711711711712,2023-03-11
40,6813422,57820,McDonalds HQ,8327493,IronGrip Nuts & Bolts pack,4,1092.0,2023-12-24
41,5844059,57820,Walmart,2064306,Steel Screw,4,0.4,2023-10-25
42,5376723,57820,Walart,3958382,Red Clamps,4,48.0,2023-05-12
43,9601456,71405,Apple Headquarters,4938583,SolidSpan Coupling,2,10.6,2023-12-18
44,8590830,71405-2345234,AppleLosAngeles,8327493,IronGrip Nuts & Bolts pack,1,273.0,2023-07-02
45,8887432,71405,Apple Headquarters,9375732,PivotPlus Hinges,5,15.86261726622617,2023-02-03
46,9673189,71405-13424315134,Atlanta Mc'Donalds,1958372,Bracing System,4,2311.2936936936935,2023-05-21
47,9250285,57820-1,McDonalds New York,1958372,Bracing System,1,577.8234234234234,2023-08-06
48,7219967,71405,Apple Headquarters,1958372,Bracing System,5,2889.117117117117,2023-03-30
49,8518916,57820,McDonalds HQ,2394206,Aluminum Head Bolt,5,50.0,2023-05-07
50,8571159,10539-1224132423,MAG Industrial Branch,9375732,PivotPlus Hinges,1,3.172523453245234,2023-04-20
51,8697737,57820-2,McDonalds Miami,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-10-02
52,5358475,57820,McDonalds Headquarters,4206932,Megafix Fastener,5,6.861711711711712,2023-06-15
53,8734418,71405,Apple Headquarters,2394206,Aluminum Head Bolt,2,20.0,2023-02-14
54,5826622,57820,McDonalds HQ,9382754,Safety Lock,4,520.0,2023-03-18
55,7800223,71405-13424315134,LA Apple Shop,3958382,Red Clamps,3,36.0,2023-06-01
56,5351424,57820,Walmart,2394206,Aluminum Head Bolt,4,40.0,2023-08-18
57,8571159,10539-1224132423,MAG Industrial Branch,9382754,Safety Lock,4,520.0,2023-04-20
58,6608171,71405-2345234,AppleLosAngeles,4206932,Megafix Fastener,4,5.48936936936937,2023-07-29
59,8496128,57820-124124,Walmart Shop,4206932,Megafix Fastener,5,6.861711711711712,2023-03-20
60,8477139,57820-2,McDonalds Miami,8473612,Steel Chain,3,567.0,2023-08-13
61,7704374,71405-13424315134,LA Apple Shop,4938583,SolidSpan Coupling,3,15.899999999999999,2023-04-30
62,9201671,57820,McDonalds,9382754,Safety Lock,2,260.0,2023-02-08
63,9927611,57820,Walart,2394206,Aluminum Head Bolt,3,30.0,2023-11-03
